Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-06-29,1.047248832900219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979900009243779,0.981074292195338,1.2712688541217485,1.0,0.9468344808311138
2020-06-30,1.070115660292797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966191319397019,1.0037808735017957,1.302733281306807,1.0,0.958962663931691
2020-07-01,1.071740625197582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9988869896820115,0.9832439806108655,1.327505122737471,1.0,0.9656799779706825
2020-07-02,1.0813356096336173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.008298275082402,0.9907676786546887,1.3284064990802444,1.0,0.9709978902310045
2020-07-06,1.0900422609397695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232069704940843,1.0033788635378065,1.3708539890094436,1.0,0.9859875351319015
2020-07-07,1.09310132847517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0252696225097702,0.9700623823290052,1.362856488399092,1.0,0.9758184526876694
2020-07-08,1.1041012334892082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0330179863861129,0.9740754759912673,1.3952347141070995,1.0,0.9832822036574295
2020-07-09,1.1177038862296869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0299591950347946,0.9406365581636611,1.4169887347980175,1.0,0.9776841843174681
2020-07-10,1.1019451730796626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0351665636947678,0.9553546423082533,1.4180765048785837,1.0,0.9876668378775693
2020-07-13,1.0775378263541986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.030272094815068,0.939156913960475,1.3807089862628612,1.0,0.9791149152176278
2020-07-14,1.099020038039379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0421198210647629,0.9695153255586806,1.394690138606611,1.0,0.9918031063648426
2020-07-15,1.1033980310508535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0459191899231004,0.9867289862756911,1.385624498347822,1.0,1.0009150370714215
2020-07-16,1.1035662885734367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.051683714955144,0.9821313574915114,1.3740014072223339,1.0,0.9976187806541044
2020-07-17,1.1199320909568595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0570880614212084,0.9697493911867323,1.3714543399615917,1.0,1.0005105410127073
