strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,CVS,343,67.12492370605469,66.34349894298498,23023.848831176758,0.2057220250620342,0.2,equal_weight,2000.0,44.101090354778364,111917.2768410872,5.0
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,HWM,124,175.8226318359375,183.46536248180905,21802.00634765625,0.1948046536069065,0.2,equal_weight,2000.0,44.101090354778364,111917.2768410872,2.0
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,NRG,144,154.1962890625,158.4476492327152,22204.265625,0.19839890901320023,0.2,equal_weight,2000.0,44.101090354778364,111917.2768410872,1.0
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,PLTR,168,130.67999267578125,135.27000427246094,21954.23876953125,0.19616487631935828,0.2,equal_weight,2000.0,44.101090354778364,111917.2768410872,3.0
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,STX,159,143.95481872558594,142.5652994418409,22888.816177368164,0.204515485217428,0.2,equal_weight,2000.0,44.101090354778364,111917.2768410872,4.0
momentum_6m,quarterly,5,22,2025-06-30,2025-07-01,CASH,0,1.0,,44.101090354778364,0.000394050781072864,,equal_weight,2000.0,44.101090354778364,111917.2768410872,
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,APP,40,704.0900268554688,714.8350219726562,28163.60107421875,0.19134464856671354,0.2,equal_weight,2000.0,108.39331363235195,147187.8167755464,4.0
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,PLTR,156,184.9499969482422,181.32000732421875,28852.19952392578,0.19602301437709244,0.2,equal_weight,2000.0,108.39331363235195,147187.8167755464,5.0
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,HOOD,200,139.13999938964844,141.25999450683594,27827.999877929688,0.18906456042055375,0.2,equal_weight,2000.0,108.39331363235195,147187.8167755464,1.0
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,STX,121,255.72186279296875,233.31981484529493,30942.34539794922,0.21022355026255093,0.2,equal_weight,2000.0,108.39331363235195,147187.8167755464,3.0
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,WDC,240,130.38865661621094,117.99779394146638,31293.277587890625,0.21260779780171077,0.2,equal_weight,2000.0,108.39331363235195,147187.8167755464,2.0
momentum_6m,quarterly,5,23,2025-09-30,2025-10-01,CASH,0,1.0,,108.39331363235195,0.000736428571378608,,equal_weight,2000.0,108.39331363235195,147187.8167755464,
momentum_6m,quarterly,5,24,2025-12-31,2026-01-02,ALB,220,143.20875549316406,143.0495687961672,31505.926208496094,0.19104704225939956,0.2,equal_weight,2000.0,22.659611406641943,164911.87634152445,5.0
momentum_6m,quarterly,5,24,2025-12-31,2026-01-02,MU,107,315.2875671386719,295.00607846003123,33735.76968383789,0.20456846670019543,0.2,equal_weight,2000.0,22.659611406641943,164911.87634152445,4.0
momentum_6m,quarterly,5,24,2025-12-31,2026-01-02,SNDK,128,275.239990234375,244.35000610351562,35230.71875,0.21363360560545017,0.2,equal_weight,2000.0,22.659611406641943,164911.87634152445,1.0
momentum_6m,quarterly,5,24,2025-12-31,2026-01-02,WBD,1095,28.510000228881836,28.790000915527344,31218.45025062561,0.18930383270865056,0.2,equal_weight,2000.0,22.659611406641943,164911.87634152445,3.0
